Favourite Number,Frequency
7,2912
3,2248
8,2025
4,1694
5,1544
13,1500
9,1438
6,1015
2,1011
11,871
42,844
17,811
23,681
12,651
27,579
22,442
21,420
3.14,412
14,383
24,361
1,358
16,355
10,354
37,294
0,287
19,279
18,241
2.78,206
28,198
69,191
25,186
15,172
i,168
47,167
26,153
33,148
32,138
36,114
29,109
1.618,103
44,100
73,96
64,93
72,77
31,76
43,71
88,69
49,62
56,58
20,57
34,57
57,51
137,47
39,44
1729,41
48,40
51,40
41,39
666,37
52,35
77,34
35,33
38,33
53,31
256,31
99,30
1337,30
142857,29
30,28
46,28
333,28
55,26
63,26
-1,25
87,25
111,25
45,24
54,24
74,23
81,22
1.41,21
83,21
1024,21
infinity,21
108,20
153,20
1111,20
60,19
66,19
144,19
67,18
76,18
222,18
777,18
58,17
97,17
84,16
89,16
147,16
163,16
75,15
444,15
6.28,14
101,14
82,13
123,13
127,13
5318008,13
59,11
68,11
71,11
93,11
120,11
343,11
420,11
1001,11
1234,11
40,10
62,10
86,10
117,10
314,10
711,10
79,9
98,9
100,9
143,9
65,8
78,8
91,8
92,8
168,8
169,8
360,8
96,7
107,7
238,7
257,7
300,7
313,7
6174,7
33333,7
50,6
61,6
94,6
105,6
113,6
217,6
237,6
243,6
317,6
327,6
417,6
496,6
612,6
714,6
9001,6
0.143,5
90,5
109,5
119,5
121,5
126,5
128,5
216,5
221,5
227,5
273,5
347,5
512,5
713,5
717,5
808,5
888,5
1000,5
1089,5
1123,5
16777216,5
6.2832,4
70,4
80,4
124,4
131,4
138,4
149,4
212,4
218,4
235,4
242,4
252,4
321,4
329,4
358,4
413,4
555,4
613,4
2112,4
1000000,4
1.61,3
85,3
103,3
104,3
132,3
142,3
152,3
154,3
157,3
181,3
187,3
193,3
198,3
211,3
215,3
255,3
284,3
297,3
322,3
337,3
356,3
369,3
423,3
436,3
440,3
453,3
511,3
532,3
537,3
619,3
621,3
786,3
801,3
911,3
927,3
997,3
999,3
1023,3
1221,3
1701,3
1812,3
2468,3
2520,3
65535,3
65536,3
711147,3
1048576,3
299792458,3
1000000000,3
1.23E+16,3
-273.15,2
-8,2
-7,2
0.0073,2
0.0123,2
0.05,2
0.1429,2
0.2,2
0.705,2
0.999,2
1.464,2
1.618,2
1.643,2
4.669,2
17.5,2
23.5,2
27.5,2
95,2
106,2
115,2
118,2
122,2
135,2
136,2
148,2
156,2
158,2
159,2
172,2
182,2
183,2
189,2
203,2
204,2
208,2
210,2
213,2
219,2
220,2
225,2
247,2
262,2
267,2
279,2
286,2
311,2
312,2
315,2
318,2
324,2
326,2
350,2
367,2
375,2
404,2
414,2
415,2
427,2
437,2
451,2
505,2
525,2
534,2
536,2
617,2
624,2
627,2
707,2
720,2
721,2
723,2
737,2
738,2
784,2
825,2
837,2
841,2
919,2
945,2
969,2
1025,2
1041,2
1101,2
1117,2
1121,2
1125,2
1138,2
1611,2
1649,2
1723,2
1881,2
1892,2
1962,2
1989,2
1997,2
1999,2
2000,2
2012,2
2222,2
2401,2
2680,2
3435,2
3677,2
4077,2
4096,2
4444,2
5040,2
5150,2
6502,2
7734,2
11235,2
24601,2
31337,2
35173,2
58008,2
80085,2
113355,2
362880,2
715517,2
1000009,2
8675309,2
12345679,2
71011343,2
3816547290,2
4294967296,2
9.37E+11,2
1.00E+14,2
1.84E+19,2
1.00E+37,2
-1.00E+46,1
-14736844985,1
-44714928,1
-273,1
-100,1
-44,1
-40,1
-34.7,1
-16.23,1
-13,1
-10,1
-6,1
-0.0833,1
0.004,1
0.0073,1
0.0073,1
0.01,1
0.0909,1
0.1235,1
0.2079,1
0.2079,1
0.234,1
0.253,1
0.301,1
0.333,1
0.3333,1
0.3333,1
0.577,1
0.6085,1
0.618,1
0.6364,1
0.667,1
0.7,1
0.707,1
0.7071,1
0.7391,1
0.7727,1
0.99,1
1,1
1,1
1,1
1.21,1
1.3,1
1.414,1
1.618,1
1.7321,1
1.772,1
1.8092,1
2.2361,1
2.2361,1
2.3,1
2.665,1
2.6855,1
2.83,1
2.8541,1
2.87,1
2.92,1
3.1416,1
3.33,1
4.1231,1
4.4,1
4.6692,1
4.6692,1
4.9956,1
5.19,1
5.56,1
6.02,1
6.18,1
6.25,1
6.2831,1
6.2832,1
6.2832,1
6.2832,1
6.4807,1
6.5,1
7.07,1
7.1,1
7.1987,1
7.483,1
8.124,1
8.31,1
8.5397,1
9.24,1
10.5,1
11.11,1
12.7436,1
12.99,1
14.236,1
15.5,1
16.41,1
16.5,1
17.3,1
18.5,1
23.1407,1
24.96,1
27.22,1
29.5,1
36.2,1
36.4622,1
37.1,1
37.5,1
38.41,1
57.7321,1
60.006,1
63.72,1
80.5,1
87.5,1
88.5,1
91.5,1
102,1
112,1
114,1
121.6,1
125,1
133,1
134,1
137.5,1
139,1
141,1
145,1
146,1
151,1
171,1
173,1
174,1
176,1
178,1
179,1
184,1
186,1
191,1
196,1
197,1
200,1
202,1
206,1
207,1
214,1
224,1
229,1
231,1
234,1
239,1
240,1
245,1
253,1
254,1
258,1
265,1
271,1
272,1
277,1
287,1
289,1
299,1
303,1
307,1
309,1
310,1
316,1
319,1
320,1
323,1
325,1
336,1
339,1
341,1
345,1
346,1
349,1
351,1
352,1
353,1
355,1
357,1
365,1
371,1
372,1
374,1
376,1
378,1
379,1
400,1
401,1
402,1
403,1
407,1
409,1
416,1
419,1
421,1
422,1
424,1
425,1
432,1
441,1
442,1
445,1
452,1
456,1
463,1
464,1
475,1
476,1
478,1
479,1
480,1
492,1
495,1
497,1
498,1
501,1
503,1
510,1
513,1
514,1
515,1
517,1
520,1
522,1
527,1
528,1
529,1
538,1
549,1
553,1
561,1
562,1
565,1
567,1
568,1
576,1
579,1
586,1
601,1
607,1
608,1
610,1
614,1
616,1
620,1
623,1
625,1
626,1
628,1
629,1
632,1
637,1
638,1
649,1
650,1
651,1
653,1
656,1
657,1
663,1
675,1
676,1
678,1
680,1
692,1
698,1
702,1
709,1
715,1
716,1
718,1
724,1
727,1
729,1
735,1
739,1
740,1
741,1
743,1
746,1
749,1
756,1
759,1
776,1
789,1
793,1
802,1
812,1
813,1
817,1
818,1
821,1
829,1
852,1
857,1
864,1
867,1
876,1
881,1
887,1
899,1
900,1
913,1
915,1
916,1
923,1
924,1
925,1
930,1
941,1
942,1
943,1
949,1
960,1
963,1
983,1
987,1
1008,1
1009,1
1010,1
1020,1
1026,1
1031,1
1037,1
1043,1
1057,1
1061,1
1066,1
1088,1
1107,1
1113,1
1114,1
1120,1
1127,1
1128,1
1134,1
1142,1
1144,1
1154,1
1155,1
1165,1
1184,1
1208,1
1212,1
1219,1
1222,1
1225,1
1228,1
1231,1
1236,1
1238,1
1247,1
1259,1
1260,1
1280.3333,1
1289,1
1294,1
1296,1
1329,1
1332,1
1342,1
1357,1
1364,1
1369,1
1375,1
1397,1
1440,1
1441,1
1472,1
1479,1
1484,1
1523,1
1607,1
1618,1
1623,1
1632,1
1664,1
1692,1
1720,1
1728,1
1732,1
1740,1
1743,1
1750,1
1760,1
1776,1
1787,1
1789,1
1800,1
1804,1
1805,1
1821,1
1866,1
1874,1
1876,1
1882,1
1889,1
1944,1
1946,1
1950,1
1952,1
1960,1
1964,1
1969,1
1971,1
1973,1
1978,1
1979,1
1983,1
1984,1
1985,1
1987,1
1991,1
1994,1
1998,1
2002,1
2007,1
2018,1
2022,1
2043,1
2048,1
2114,1
2255,1
2309,1
2357,1
2400,1
2471,1
2501,1
2505,1
2510,1
2579,1
2592,1
2621,1
2648,1
2701,1
2710,1
2715,1
2718,1
2729,1
2769,1
2882,1
2884,1
2892,1
2896,1
2897,1
3013,1
3020,1
3067,1
3141,1
3155,1
3216,1
3253,1
3391,1
3489,1
3500,1
3578,1
3600,1
3641,1
3657,1
3721,1
3780,1
3826,1
4124,1
4125,1
4181,1
4205,1
4211,1
4224,1
4250,1
4253,1
4267,1
4324,1
4331,1
4370,1
4681,1
4711,1
4785,1
4927,1
5021,1
5073,1
5107,1
5155,1
5218,1
5255,1
5280,1
5283,1
5325,1
5364,1
5477,1
5555,1
5776,1
5777,1
5872,1
6022,1
6337,1
6453,1
6588,1
6729,1
6888,1
6942,1
6996,1
7121,1
7200,1
7254,1
7321,1
7501,1
7741,1
7744,1
7910,1
8008,1
8128,1
8553,1
8712,1
8722,1
8771,1
8858,1
8925,1
9146,1
9232,1
9288,1
9362,1
9436,1
9623,1
9675,1
9683,1
9742,1
9999,1
10000,1
10001,1
10468,1
10538,1
10886,1
12198,1
12336,1
12444,1
12851,1
13013,1
14394,1
14641,1
15151,1
15399,1
15880,1
16059,1
16061,1
16245,1
17686,1
18500,1
18912,1
20000,1
20736,1
21274,1
23717,1
24242,1
27412,1
30000,1
31415,1
32767,1
33153,1
34155,1
34234,1
35231,1
36777,1
41821,1
42239,1
42713,1
43770,1
44497,1
46435,1
49531,1
51150,1
52760,1
53001,1
54321,1
57005,1
57121,1
61454,1
62442,1
62480,1
65565,1
68000,1
69420,1
71553,1
73101,1
74201,1
74656,1
74711,1
80000,1
81018,1
81306,1
90125,1
105114,1
111111,1
113785,1
124857,1
132353,1
132674,1
137596,1
140404,1
149459,1
153689,1
181181,1
186000,1
186282,1
201102,1
251253,1
261970,1
262144,1
271441,1
280393,1
314159,1
314205,1
317537,1
322423,1
364541,1
391262,1
396587,1
472415,1
522307,1
531441,1
538008,1
550909,1
576898,1
621230,1
637298,1
639172,1
666666,1
750000,1
810721,1
812634,1
823543,1
863432,1
1000003,1
1000005,1
1000008,1
1000037,1
1000556,1
1003203,1
1024768,1
1428571,1
1500000,1
1578931,1
1736251,1
1999993,1
2000000,1
2005968.7,1
2100000,1
2716057,1
3000000,1
5138008,1
5271009,1
5271985,1
6000000,1
6031769,1
7072008,1
7873302,1
8080317,1
8370738,1
9000000,1
9899036,1
9941990,1
10000000,1
10000003,1
11235813,1
18118055,1
19309228,1
23456789,1
25446881.03,1
28000000,1
31415926,1
60466176,1
67108864,1
73939133,1
74384338,1
78552003,1
80000000,1
85000000,1
85417632,1
86000000,1
87539319,1
88888888,1
97280933,1
100000000,1
111111111,1
123581321,1
170123456,1
300000000,1
381654729,1
435342675,1
461208792,1
462917895,1
600000000,1
600342323,1
625999360,1
715358889,1
756209571,1
773047718,1
777111333,1
777703115,1
876651819,1
1000000007,1
1073741824,1
1123581321,1
1234567890,1
1742350698,1
1852000000,1
2147483648,1
4815162342,1
5033191440,1
6000000000,1
6179217664,1
6227020800,1
7789712078,1
9192631770,1
10101010101,1
50000000000,1
79191917999,1
99999999977,1
1.00E+11,1
1.09E+11,1
1.96E+11,1
1.00E+12,1
1.11E+12,1
1.89E+12,1
2.20E+12,1
5.12E+12,1
9.21E+12,1
1.00E+15,1
7.01E+15,1
1.00E+16,1
1.05E+17,1
2.63E+17,1
9.00E+17,1
1.19E+18,1
1.23E+18,1
1.12E+19,1
1.74E+19,1
1.60E+20,1
1.33E+21,1
2.95E+22,1
6.02E+23,1
6.02E+23,1
1.42E+27,1
1.23E+28,1
6.54E+29,1
1.23E+52,1
7.78E+53,1
8.08E+53,1
1.00E+64,1
1.00E+70,1
1.00E+70,1
